id,ident,name,continent,iso_country,municipality,is_ue
4734,MMNG,Nogales International Airport,,MX,Nogales,0
4735,MMNL,Quetzalcóatl International Airport,,MX,Nuevo Laredo,0
4736,MMOX,Xoxocotlán International Airport,,MX,Oaxaca,0
4737,MMPA,El Tajín National Airport,,MX,Poza Rica,0
4738,MMPB,Hermanos Serdán International Airport,,MX,Puebla,0
4741,MMPG,Piedras Negras International Airport,,MX,Piedras Negras,0
4742,MMPN,Uruapan - Licenciado y General Ignacio Lopez Rayon International Airport,,MX,Uruapan,0
4745,MMPR,Puerto Vallarta International Airport,,MX,Puerto Vallarta,0
4746,MMPS,Puerto Escondido International Airport,,MX,Puerto Escondido,0
4747,MMQT,Querétaro Intercontinental Airport,,MX,Querétaro,0
4748,MMRX,General Lucio Blanco International Airport,,MX,Reynosa,0
4750,MMSD,Los Cabos International Airport,,MX,San José del Cabo,0
4869,MMSL,Cabo San Lucas International Airport,,MX,Cabo San Lucas,0
31923,MMSM,Felipe Ángeles International Airport,,MX,Mexico City,0
4752,MMSP,Ponciano Arriaga International Airport,,MX,San Luis Potosí,0
4754,MMTB,Terán Air Base,,MX,Tuxtla Gutiérrez,0
4755,MMTC,Francisco Sarabia Tinoco International Airport,,MX,Torreón,0
43048,MMTG,Angel Albino Corzo International Airport,,MX,Tuxtla Gutiérrez,0
4757,MMTJ,General Abelardo L. Rodriguez International Airport,,MX,Tijuana,0
520012,MMTL,Felipe Carrillo Puerto International Airport Tulum,,MX,Tulum,0
4758,MMTM,General Francisco Javier Mina International Airport,,MX,Ciudad Madero,0
4760,MMTO,Adolfo López Mateos International Airport,,MX,Toluca,0
4761,MMTP,Tapachula International Airport,,MX,Tapachula,0
4762,MMUN,Cancún International Airport,,MX,Cancún,0
4763,MMVA,Carlos Rovirosa Pérez International Airport,,MX,Villahermosa,0
4764,MMVR,General Heriberto Jara International Airport,,MX,Veracruz,0
4765,MMZC,General Leobardo C. Ruiz International Airport,,MX,Zacatecas,0
4766,MMZH,Ixtapa-Zihuatanejo International Airport,,MX,Ixtapa,0
4768,MMZO,Playa de Oro International Airport,,MX,Manzanillo,0
4770,MNBL,Bluefields Airport,,NI,Bluefields,0
4774,MNMG,Augusto C. Sandino (Managua) International Airport,,NI,Managua,0
4776,MNPC,Puerto Cabezas Airport,,NI,Puerto Cabezas,0
4786,MPBO,"Bocas del Toro ""Isla Colón"" International Airport",,PA,Isla Colón,0
